0:(1,9),(0,4),(5,0),(0,9),(5,3),(14,6),(10,9),(10,3),(11,9),(3,0),(4,9),(11,6),
1:(2,9),(0,3),(6,0),(0,8),(6,3),(15,6),(11,9),(9,3),(12,9),(2,0),(5,9),(10,6),
2:(3,9),(0,3),(7,0),(0,7),(7,3),(16,6),(12,9),(8,3),(13,9),(1,0),(6,9),(9,6),
3:(4,9),(0,3),(8,0),(0,7),(7,3),(16,5),(13,9),(7,3),(14,9),(0,0),(7,9),(8,6),
4:(5,9),(0,3),(8,1),(0,7),(7,3),(16,4),(14,9),(6,3),(15,9),(0,1),(8,9),(7,6),
5:(6,9),(0,3),(8,2),(0,7),(7,3),(16,3),(15,9),(5,3),(16,9),(0,1),(8,8),(6,6),
6:(7,9),(0,3),(8,3),(0,7),(7,3),(15,3),(16,9),(4,3),(16,8),(0,1),(8,7),(5,6),
7:(8,9),(0,3),(8,4),(0,7),(7,3),(14,3),(16,8),(3,3),(16,7),(0,1),(8,6),(4,6),
8:(8,8),(0,3),(8,5),(0,7),(7,3),(14,3),(16,7),(2,3),(16,6),(0,1),(9,6),(3,6),
9:(8,7),(0,3),(8,6),(0,7),(7,3),(14,3),(16,6),(1,3),(16,5),(0,1),(9,6),(2,6),
10:(8,6),(0,3),(8,7),(0,7),(7,3),(14,3),(15,6),(0,3),(16,4),(0,1),(9,6),(1,6),
11:(8,5),(0,3),(8,8),(0,7),(7,3),(14,3),(14,6),(0,4),(16,3),(0,1),(9,6),(0,6),
12:(8,4),(0,3),(8,9),(0,7),(7,3),(14,3),(13,6),(0,5),(16,2),(0,1),(9,6),(0,7),
13:(8,3),(0,3),(7,9),(0,7),(7,3),(14,3),(12,6),(0,6),(16,1),(0,1),(9,6),(0,8),
14:(8,2),(0,3),(6,9),(0,7),(7,3),(14,3),(11,6),(0,7),(16,0),(0,1),(9,6),(0,9),
15:(8,1),(0,3),(6,9),(0,7),(7,3),(14,3),(10,6),(0,8),(15,0),(0,1),(9,6),(1,9),
16:(8,0),(0,3),(6,9),(0,7),(7,3),(14,3),(9,6),(0,9),(14,0),(0,1),(9,6),(2,9),
17:(9,0),(0,3),(6,9),(0,7),(7,3),(14,3),(8,6),(1,9),(13,0),(0,1),(9,6),(3,9),
18:(10,0),(0,3),(6,9),(0,7),(7,3),(14,3),(7,6),(2,9),(12,0),(0,1),(9,6),(4,9),
19:(11,0),(0,3),(6,9),(0,7),(7,3),(14,3),(6,6),(3,9),(12,0),(0,1),(9,6),(5,9),
20:(12,0),(0,3),(6,9),(0,7),(7,3),(14,3),(5,6),(4,9),(12,0),(0,1),(9,6),(6,9),
21:(13,0),(0,3),(6,9),(0,7),(7,3),(14,3),(4,6),(5,9),(12,0),(0,1),(9,6),(7,9),
22:(14,0),(0,3),(6,9),(0,7),(7,3),(14,3),(3,6),(6,9),(12,0),(0,1),(9,6),(8,9),
23:(14,0),(0,3),(6,9),(0,7),(7,3),(14,3),(2,6),(7,9),(12,0),(0,1),(9,6),(9,9),
24:(14,0),(0,3),(6,9),(0,7),(7,3),(14,3),(1,6),(8,9),(12,0),(0,1),(9,6),(10,9),
25:(14,0),(0,3),(6,9),(0,7),(7,3),(14,3),(0,6),(8,8),(12,0),(0,1),(9,6),(11,9),
26:(14,0),(0,3),(6,9),(0,7),(7,3),(14,3),(0,6),(8,8),(12,0),(0,1),(9,6),(12,9),
27:(14,0),(0,3),(6,9),(0,7),(7,3),(14,3),(0,6),(8,8),(12,0),(0,1),(9,6),(13,9),
28:(14,0),(0,3),(6,9),(0,7),(7,3),(14,3),(0,6),(8,8),(12,0),(0,1),(9,6),(14,9),
29:(14,0),(0,3),(6,9),(0,7),(7,3),(14,3),(0,6),(8,8),(12,0),(0,1),(9,6),(15,9),
30:(14,0),(0,3),(6,9),(0,7),(7,3),(14,3),(0,6),(8,8),(12,0),(0,1),(9,6),(16,9),
31:(14,0),(0,3),(6,9),(0,7),(7,3),(14,3),(0,6),(8,8),(12,0),(0,1),(9,6),(16,8),
32:(14,0),(0,3),(6,9),(0,7),(7,3),(14,3),(0,6),(8,8),(12,0),(0,1),(9,6),(16,7),
33:(14,0),(0,3),(6,9),(0,7),(7,3),(14,3),(0,6),(8,8),(12,0),(0,1),(9,6),(16,6),
34:(14,0),(0,3),(6,9),(0,7),(7,3),(14,3),(0,6),(8,8),(12,0),(0,1),(9,6),(16,5),
35:(14,0),(0,3),(6,9),(0,7),(7,3),(14,3),(0,6),(8,8),(12,0),(0,1),(9,6),(16,4),
36:(14,0),(0,3),(6,9),(0,7),(7,3),(14,3),(0,6),(8,8),(12,0),(0,1),(9,6),(16,3),
