0:(0,10),(0,10),(0,10),(0,10),(0,10),
1:(0,9),(0,10),(0,10),(0,10),(0,10),
2:(0,8),(0,10),(0,10),(0,9),(0,10),
3:(0,7),(0,10),(0,10),(0,8),(0,9),
4:(0,6),(0,10),(0,9),(0,7),(0,8),
5:(0,5),(0,9),(0,8),(0,6),(0,7),
6:(0,4),(0,8),(0,7),(0,5),(0,6),
7:(0,3),(0,7),(0,6),(0,4),(1,6),
8:(0,2),(0,6),(0,5),(0,3),(2,6),
9:(0,1),(0,5),(0,4),(0,2),(3,6),
10:(0,0),(0,4),(0,3),(0,1),(4,6),
11:(1,0),(0,3),(0,2),(0,0),(5,6),
12:(2,0),(0,2),(0,1),(1,0),(6,6),
13:(3,0),(0,1),(0,0),(2,0),(7,6),
14:(4,0),(0,0),(1,0),(3,0),(8,6),
15:(5,0),(1,0),(2,0),(4,0),(9,6),
16:(6,0),(0,0),(3,0),(5,0),(10,6),
17:(7,0),(0,1),(4,0),(6,0),(11,6),
18:(8,0),(0,2),(5,0),(7,0),(12,6),
19:(8,1),(0,3),(6,0),(8,0),(13,6),
20:(8,2),(1,3),(7,0),(9,0),(14,6),
21:(8,3),(2,3),(8,0),(10,0),(15,6),
22:(9,3),(3,3),(9,0),(11,0),(16,6),
23:(10,3),(4,3),(10,0),(12,0),(16,7),
24:(11,3),(5,3),(11,0),(13,0),(16,8),
25:(12,3),(6,3),(12,0),(14,0),(16,9),
26:(13,3),(7,3),(13,0),(15,0),(16,10),
27:(14,3),(8,3),(14,0),(16,0),(16,10),
28:(15,3),(9,3),(15,0),(16,1),(16,10),
29:(16,3),(10,3),(16,0),(16,2),(16,10),
30:(16,4),(11,3),(16,1),(16,3),(16,10),
31:(16,5),(12,3),(16,2),(16,4),(16,10),
32:(16,6),(13,3),(16,3),(16,5),(16,10),
33:(16,7),(14,3),(16,4),(16,6),(16,10),
34:(16,8),(15,3),(16,5),(16,7),(16,10),
35:(16,9),(16,3),(16,6),(16,8),(16,10),
36:(16,10),(16,4),(16,7),(16,9),(16,10),
37:(16,10),(16,5),(16,8),(16,10),(16,10),
38:(16,10),(16,6),(16,9),(16,10),(16,10),
39:(16,10),(16,7),(16,10),(16,10),(16,10),
40:(16,10),(16,8),(16,10),(16,10),(16,10),
41:(16,10),(16,9),(16,10),(16,10),(16,10),
42:(16,10),(16,10),(16,10),(16,10),(16,10),
