0:(11,3),(8,9),(16,2),(16,4),(10,9),(4,9),(12,9),(14,0),(0,2),(8,6),
1:(10,3),(8,8),(16,3),(16,5),(11,9),(5,9),(11,9),(13,0),(0,1),(8,5),
2:(9,3),(8,7),(15,3),(16,6),(12,9),(6,9),(10,9),(12,0),(0,0),(8,4),
3:(8,3),(8,6),(14,3),(15,6),(13,9),(7,9),(9,9),(11,0),(1,0),(8,3),
4:(8,4),(8,5),(13,3),(14,6),(14,9),(8,9),(8,9),(10,0),(2,0),(9,3),
5:(8,5),(8,4),(12,3),(13,6),(15,9),(8,8),(8,8),(9,0),(3,0),(10,3),
6:(8,6),(8,3),(11,3),(12,6),(16,9),(8,7),(8,7),(8,0),(4,0),(11,3),
7:(9,6),(8,2),(10,3),(11,6),(16,9),(8,6),(8,6),(7,0),(5,0),(12,3),
8:(10,6),(8,2),(9,3),(10,6),(16,9),(8,5),(8,5),(6,0),(6,0),(13,3),
9:(11,6),(8,2),(8,3),(9,6),(16,9),(8,4),(8,4),(6,0),(7,0),(14,3),
10:(11,6),(8,2),(8,4),(8,6),(16,9),(8,3),(8,3),(6,0),(8,0),(14,3),
11:(11,6),(8,2),(8,5),(7,6),(16,9),(8,2),(9,3),(6,0),(8,0),(14,3),
12:(11,6),(8,2),(8,5),(6,6),(16,9),(8,1),(10,3),(6,0),(8,0),(14,3),
13:(11,6),(8,2),(8,5),(5,6),(16,9),(8,0),(10,3),(6,0),(8,0),(14,3),
14:(11,6),(8,2),(8,5),(4,6),(16,9),(9,0),(10,3),(6,0),(8,0),(14,3),
15:(11,6),(8,2),(8,5),(3,6),(16,9),(10,0),(10,3),(6,0),(8,0),(14,3),
16:(11,6),(8,2),(8,5),(2,6),(16,9),(11,0),(10,3),(6,0),(8,0),(14,3),
