0:(6,6),(7,6),(16,6),(16,1),(9,9),(14,6),(5,9),(13,9),(4,6),(14,3),(16,2),(0,5),(8,7),(0,0),(4,9),(12,0),(0,2),
1:(7,6),(8,6),(16,5),(16,2),(8,9),(13,6),(4,9),(14,9),(5,6),(13,3),(16,3),(0,6),(8,8),(0,1),(3,9),(13,0),(0,3),
2:(8,6),(8,7),(16,4),(16,3),(7,9),(12,6),(3,9),(15,9),(6,6),(12,3),(15,3),(1,6),(8,9),(0,2),(2,9),(14,0),(0,4),
3:(8,5),(8,8),(16,3),(15,3),(6,9),(11,6),(2,9),(16,9),(7,6),(11,3),(14,3),(2,6),(7,9),(0,3),(2,9),(15,0),(0,5),
4:(8,4),(8,9),(16,3),(14,3),(5,9),(10,6),(1,9),(16,8),(8,6),(10,3),(13,3),(3,6),(6,9),(0,4),(2,9),(16,0),(0,6),
5:(8,3),(7,9),(16,3),(13,3),(4,9),(9,6),(0,9),(16,7),(8,5),(9,3),(12,3),(4,6),(5,9),(0,5),(2,9),(16,1),(1,6),
6:(8,2),(6,9),(16,3),(12,3),(3,9),(8,6),(0,8),(16,6),(8,4),(8,3),(11,3),(5,6),(4,9),(0,6),(2,9),(16,2),(2,6),
7:(8,1),(5,9),(16,3),(11,3),(2,9),(8,7),(0,7),(16,5),(8,3),(7,3),(10,3),(6,6),(3,9),(1,6),(2,9),(16,3),(3,6),
8:(8,1),(4,9),(16,3),(10,3),(1,9),(8,8),(0,6),(16,4),(8,2),(6,3),(9,3),(7,6),(2,9),(2,6),(2,9),(15,3),(4,6),
9:(8,1),(3,9),(16,3),(9,3),(0,9),(8,9),(1,6),(16,3),(8,1),(5,3),(8,3),(8,6),(1,9),(3,6),(2,9),(14,3),(5,6),
10:(8,1),(2,9),(16,3),(8,3),(0,8),(7,9),(2,6),(15,3),(8,0),(4,3),(8,2),(8,5),(0,9),(4,6),(2,9),(13,3),(6,6),
11:(8,1),(1,9),(16,3),(7,3),(0,7),(7,9),(3,6),(14,3),(9,0),(3,3),(8,1),(8,4),(0,8),(5,6),(2,9),(12,3),(7,6),
12:(8,1),(0,9),(16,3),(6,3),(0,6),(7,9),(4,6),(13,3),(10,0),(3,3),(8,0),(8,3),(0,7),(6,6),(2,9),(11,3),(8,6),
13:(8,1),(0,8),(16,3),(5,3),(1,6),(7,9),(5,6),(12,3),(11,0),(3,3),(7,0),(8,2),(0,6),(7,6),(2,9),(10,3),(8,5),
14:(8,1),(0,8),(16,3),(4,3),(2,6),(7,9),(6,6),(11,3),(12,0),(3,3),(6,0),(8,1),(1,6),(8,6),(2,9),(9,3),(8,4),
15:(8,1),(0,8),(16,3),(3,3),(3,6),(7,9),(7,6),(10,3),(13,0),(3,3),(5,0),(8,0),(2,6),(8,5),(2,9),(8,3),(8,3),
16:(8,1),(0,8),(16,3),(2,3),(3,6),(7,9),(8,6),(9,3),(13,0),(3,3),(5,0),(9,0),(3,6),(8,4),(2,9),(7,3),(8,2),
17:(8,1),(0,8),(16,3),(1,3),(3,6),(7,9),(8,5),(8,3),(13,0),(3,3),(5,0),(10,0),(4,6),(8,3),(2,9),(6,3),(8,1),
18:(8,1),(0,8),(16,3),(0,3),(3,6),(7,9),(8,4),(7,3),(13,0),(3,3),(5,0),(11,0),(5,6),(7,3),(2,9),(5,3),(8,0),
19:(8,1),(0,8),(16,3),(0,4),(3,6),(7,9),(8,3),(6,3),(13,0),(3,3),(5,0),(12,0),(6,6),(6,3),(2,9),(4,3),(9,0),
20:(8,1),(0,8),(16,3),(0,4),(3,6),(7,9),(8,2),(5,3),(13,0),(3,3),(5,0),(13,0),(7,6),(5,3),(2,9),(4,3),(9,0),
21:(8,1),(0,8),(16,3),(0,4),(3,6),(7,9),(8,1),(4,3),(13,0),(3,3),(5,0),(14,0),(8,6),(5,3),(2,9),(4,3),(9,0),
22:(8,1),(0,8),(16,3),(0,4),(3,6),(7,9),(8,0),(3,3),(13,0),(3,3),(5,0),(15,0),(8,6),(5,3),(2,9),(4,3),(9,0),
23:(8,1),(0,8),(16,3),(0,4),(3,6),(7,9),(8,0),(2,3),(13,0),(3,3),(5,0),(16,0),(8,6),(5,3),(2,9),(4,3),(9,0),
24:(8,1),(0,8),(16,3),(0,4),(3,6),(7,9),(8,0),(1,3),(13,0),(3,3),(5,0),(16,1),(8,6),(5,3),(2,9),(4,3),(9,0),
25:(8,1),(0,8),(16,3),(0,4),(3,6),(7,9),(8,0),(0,3),(13,0),(3,3),(5,0),(16,2),(8,6),(5,3),(2,9),(4,3),(9,0),
26:(8,1),(0,8),(16,3),(0,4),(3,6),(7,9),(8,0),(0,3),(13,0),(3,3),(5,0),(16,3),(8,6),(5,3),(2,9),(4,3),(9,0),
27:(8,1),(0,8),(16,3),(0,4),(3,6),(7,9),(8,0),(0,3),(13,0),(3,3),(5,0),(15,3),(8,6),(5,3),(2,9),(4,3),(9,0),
