0:(14,0),(8,1),(5,9),(16,8),(8,2),
1:(13,0),(8,2),(4,9),(16,7),(8,3),
2:(12,0),(8,3),(3,9),(16,6),(9,3),
3:(11,0),(7,3),(2,9),(16,5),(10,3),
4:(10,0),(6,3),(1,9),(16,4),(11,3),
5:(9,0),(5,3),(0,9),(16,3),(12,3),
6:(8,0),(4,3),(0,8),(16,2),(13,3),
7:(8,1),(3,3),(0,7),(16,1),(14,3),
8:(8,2),(2,3),(0,6),(16,0),(15,3),
9:(8,3),(1,3),(1,6),(15,0),(16,3),
10:(8,4),(0,3),(2,6),(14,0),(16,2),
11:(8,5),(0,4),(2,6),(13,0),(16,2),
12:(8,6),(0,5),(2,6),(12,0),(16,2),
13:(8,7),(0,6),(2,6),(11,0),(16,2),
14:(8,8),(0,7),(2,6),(10,0),(16,2),
15:(8,8),(0,8),(2,6),(9,0),(16,2),
16:(8,8),(0,9),(2,6),(8,0),(16,2),
17:(8,8),(0,9),(2,6),(7,0),(16,2),
18:(8,8),(0,9),(2,6),(6,0),(16,2),
19:(8,8),(0,9),(2,6),(5,0),(16,2),
20:(8,8),(0,9),(2,6),(4,0),(16,2),
21:(8,8),(0,9),(2,6),(3,0),(16,2),
22:(8,8),(0,9),(2,6),(2,0),(16,2),
23:(8,8),(0,9),(2,6),(1,0),(16,2),
24:(8,8),(0,9),(2,6),(0,0),(16,2),
